Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,Rentel Offshore WP
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Wind Offshore
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
259.0,145.0,78.0,0.0,115.0,114.0,182.0,147.0,188.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,139.0,139.0,0.0,43.0,206.0,0.0,89.0,327.0,456.0,474.0,1002.0,0.0,88.0,88.0,0.0,231.0,85.0
253.0,144.0,90.0,0.0,1.0,5.0,8.0,144.0,74.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,146.0,160.0,0.0,130.0,206.0,0.0,89.0,335.0,459.0,474.0,1003.0,0.0,98.0,104.0,0.0,176.0,91.0
240.0,137.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,147.0,147.0,0.0,299.0,206.0,0.0,89.0,375.0,463.0,473.0,1004.0,0.0,100.0,110.0,0.0,237.0,90.0
234.0,135.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,141.0,146.0,0.0,281.0,207.0,0.0,89.0,327.0,467.0,474.0,1004.0,0.0,102.0,117.0,0.0,208.0,93.0
257.0,143.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,119.0,120.0,0.0,306.0,202.0,0.0,89.0,245.0,467.0,474.0,1004.0,0.0,80.0,91.0,0.0,213.0,84.0
204.0,126.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,84.0,94.0,0.0,236.0,202.0,0.0,89.0,241.0,468.0,477.0,1005.0,0.0,76.0,74.0,0.0,236.0,69.0
184.0,118.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,39.0,67.0,0.0,240.0,202.0,0.0,89.0,241.0,468.0,478.0,1006.0,0.0,66.0,63.0,0.0,228.0,60.0
155.0,112.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,56.0,29.0,44.0,0.0,253.0,202.0,28.0,89.0,240.0,467.0,479.0,1008.0,0.0,48.0,47.0,0.0,225.0,40.0
237.0,136.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,137.0,25.0,28.0,0.0,264.0,204.0,79.0,89.0,391.0,467.0,479.0,1010.0,0.0,47.0,43.0,0.0,250.0,36.0
238.0,137.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,320.0,31.0,34.0,0.0,270.0,205.0,312.0,92.0,402.0,468.0,479.0,1010.0,0.0,34.0,33.0,0.0,300.0,22.0
